Landelijke_bag_id,Openbare_ruimte_id,Nummeraanduiding_id,Adresseerbaar_object_id,Pand_id,Kadastraal_object_id,Zakelijk_recht_id,Kadastraal_subject_id,Transactie_id,Adresseerbaar_object_type,Straatcode,Naam_officieel,Naam_nen,Naam_ptt,Huisnummer,Huisletter,Toevoeging,Postcode,Gebruiksdoel,Aantal_kamers,Woonoppervlak,Indicatie_nevenadres,Documentmutatiedatum,Documentmutatienummer,Bouwlaagtoegang,Aantal_bouwlagen,Type_woonobject_oms,Eigendomsverhouding,Financieringswijze,Feitelijk_gebruik,Ligging_gebouw,Status_nummeraanduiding,Nummeraanduiding_vervallen,Nummeraanduiding_ingangsdatum,Nummeraanduiding_einddatum,Status_adresseerbaar_object,Aot_x_coordinaat,Aot_y_coordinaat,Oorspronkelijk_bouwjaar,Kadgemkode,Sektielt,Konr,Kolt,Koindex,Perceeloppervlak,Ddtransakt,Zakelijkrecht,Aandeel,Ffkoopsom,Subjekt_oms,,
363010000602209,3630000003085,3630000064519,3630000602209,3630012986414,301044,520584,20860,462815,vbo,6734,Castorplein,Castorplein,CASTORPLN,1,,,1033 GG,Best-woning,4,55,nee,04-02-13,GV00001616_AC00AC,0,1,Eengezinswoning,eigendom,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-22,,Verblijfsobject in gebruik,121234,491664,1922,ASD28,AH,1860,G,0,91,27-07-07,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ah,,
363010000599846,3630000003057,3630000062177,3630000599846,3630013053671,45425,77970,24759,1161999,vbo,6238,Burgemeester Röellstraat,Burgemeester Roellstraat,BURG ROELLSTR,1,,5,1064 BK,Best-woning,4,65,nee,04-02-13,GV00001616_AC00AC,5,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-59,,Verblijfsobject in gebruik,117313,487389,1959,STN02,D,5645,G,0,517,24-12-02,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000599855,3630000003057,3630000062186,3630000599855,3630013053671,45425,77970,24759,1161999,vbo,6238,Burgemeester Röellstraat,Burgemeester Roellstraat,BURG ROELLSTR,1,,2,1064 BK,Best-woning,3,58,nee,04-02-13,GV00001616_AC00AC,2,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-59,,Verblijfsobject in gebruik,117309,487389,1959,STN02,D,5645,G,0,517,24-12-02,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000599859,3630000003057,3630000062190,3630000599859,3630013053671,45425,77970,24759,1161999,vbo,6238,Burgemeester Röellstraat,Burgemeester Roellstraat,BURG ROELLSTR,1,,6,1064 BK,Best-woning,3,58,nee,04-02-13,GV00001616_AC00AC,6,1,Meergezinswoning,huur,Premiehuur Profit voor 1985,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-59,,Verblijfsobject in gebruik,117309,487389,1959,STN02,D,5645,G,0,517,24-12-02,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000605113,3630000003108,3630000067489,3630000605113,3630013095244,132928,1794955,20850,861414,vbo,7196,Churchill-laan,Churchilllaan,CHURCHILLLN,1,,1,1078 EG,Best-woning,3,63,nee,04-02-13,GV00001616_AC00AC,1,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,hoekgebouw,naamgeving uitgegeven,N,01-01-25,,Verblijfsobject in gebruik,121912,484443,1925,ASD18,V,5374,G,0,980,01-04-98,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam V,,
363010000616046,3630000003203,3630000078237,3630000616046,3630013120674,52109,501312,24759,542339,vbo,8435,Davisstraat,Davisstraat,DAVISSTR,1,,1,1057 TK,Best-woning,3,54,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-29,,Verblijfsobject in gebruik,118845,486587,1929,STN02,C,7855,G,0,91,03-12-07,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Sloten,,
363010000617676,3630000003216,3630000079967,3630000617676,3630013116000,139045,896611,49,146751,vbo,8672,De Kempenaerstraat,De Kempenaerstraat,DE KEMPENAERSTR,1,B,,1051 CK,Best-woning,2,52,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-16,,Verblijfsobject in gebruik,119754,488308,1916,ASD21,Y,2109,G,0,193,24-12-04,Recht van erfpacht,1-jan.,100000,Algemene Woningbouw Vereniging,,
363010000617676,3630000003216,3630000079967,3630000617676,3630013116000,139045,896610,20853,146751,vbo,8672,De Kempenaerstraat,De Kempenaerstraat,DE KEMPENAERSTR,1,B,,1051 CK,Best-woning,2,52,nee,09-09-10,GV00000406,1,1,Meergezinswoning,huur,Sociale huursector woningwet,woning,tussengebouw,naamgeving uitgegeven,N,01-01-16,,Verblijfsobject in gebruik,119754,488308,1916,ASD21,Y,2109,G,0,193,24-12-04,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Y,,
363010000617206,3630000003210,3630000079499,3630000617206,3630012984605,270407,2577609,20862,1498826,vbo,8516,De Cuserstraat,De Cuserstraat,DE CUSERSTR,1,,,1081 CL,Best-woning,5,138,nee,04-02-13,GV00001616_AC00AC,0,2,Eengezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-63,,Verblijfsobject in gebruik,119155,481848,1963,ASD30,AK,1686,G,0,187,29-01-13,Eigendom bel. met recht van erfpacht,1-jan.,100000,De Gemeente Amsterdam Ak,,
363010000631834,3630000002825,3630000094142,3630000631834,3630013050146,8549,1224455,49,786953,vbo,10944,Elisabeth Wolffstraat,Elisabeth Wolffstraat,E WOLFFSTR,1,,2,1052 RP,Best-woning,3,51,nee,09-09-10,GV00000406,2,1,Meergezinswoning,huur,Ongesubsidieerde bouw,woning,tussengebouw,naamgeving uitgegeven,N,01-01-08,,Verblijfsobject in gebruik,119575,487105,1908,ASD13,Q,5850,G,0,173,13-06-94,Recht van erfpacht,1-jan.,100000,Algemene Woningbouw Vereniging,,
